TOP PROSPECTS LIST — 2026 UPDATE
=================================
Sources: Bleacher Report (ranks 1-100) | ESPN/Kiley McDaniel (ranks 101-200)
Note: (*) = player appears in BR top 100 but ranked lower by ESPN; shown at their BR rank below.
Generated: April 2026

Rank  Name                      Pos   Team
----  ------------------------  ----  ----

— RANKS 1–100 (Bleacher Report) —

   1  Kevin McGonigle           SS    DET
   2  Konnor Griffin            SS    PIT
   3  Jesus Made                SS    MIL
   4  Leo De Vries              SS    ATH
   5  JJ Wetherholt             2B    STL
   6  Samuel Basallo            C     BAL
   7  Nolan McLean              RHP   NYM
   8  Trey Yesavage             RHP   TOR
   9  Colt Emerson              SS    SEA
  10  Walker Jenkins            OF    MIN
  11  Bubba Chandler            RHP   PIT
  12  Thomas White              LHP   MIA
  13  Max Clark                 OF    DET
  14  Sebastian Walcott         SS    TEX
  15  Carter Jensen             C     KC
  16  Josue De Paula            OF    LAD
  17  Carson Benge              OF    NYM
  18  Sal Stewart               3B    CIN
  19  Aidan Miller              SS    PHI
  20  Bryce Eldridge            1B    SF
  21  Travis Bazzana            2B    CLE
  22  Kade Anderson             LHP   SEA
  23  Luis Pena                 2B    MIL
  24  Eli Willits               SS    WSH
  25  Lazaro Montes             OF    SEA    (*)
  26  Payton Tolle              LHP   BOS
  27  Andrew Painter            RHP   PHI
  28  George Lombard Jr.        SS    NYY
  29  Bryce Rainer              SS    DET
  30  Seth Hernandez            RHP   PIT
  31  Eduardo Quintero          OF    LAD
  32  Franklin Arias            SS    BOS
  33  Jonah Tong                RHP   NYM
  34  Moises Ballesteros        C     CHC
  35  Zyhir Hope                OF    LAD
  36  Liam Doyle                LHP   STL
  37  Rainiel Rodriguez         C     STL
  38  Josuar De Jesus           SS    SF
  39  Alfredo Duno              C     CIN
  40  Gage Jump                 LHP   ATH
  41  Chase DeLauter            OF    CLE
  42  Robby Snelling            LHP   MIA
  43  Jamie Arnold              LHP   ATH
  44  Owen Caissie              OF    MIA
  45  Josue Briceno             C     DET
  46  Dylan Beavers             OF    BAL
  47  Connelly Early            LHP   BOS
  48  Caleb Bonemer             SS    CWS
  49  Mike Sirota               OF    LAD
  50  Ethan Holliday            SS    COL
  51  Ryan Waldschmidt          OF    ARI
  52  Joseph Parker             SS    TOR
  53  Ralphy Velazquez          1B    CLE
  54  Carson Williams           SS    TB
  55  Justin Crawford           OF    PHI
  56  Noah Schultz              LHP   CWS
  57  Jett Williams             SS    MIL
  58  Joe Mack                  C     MIA
  59  Braden Montgomery         OF    CWS
  60  Aiva Arquette             SS    MIA    (*)
  61  Emmanuel Rodriguez        OF    MIN
  62  Theo Gillen               OF    TB
  63  Michael Arroyo            2B    SEA
  64  Arjun Nimmala             SS    TOR
  65  Harry Ford                C     WSH
  66  Jarlin Susana             RHP   WSH
  67  Jonny Farmelo             OF    SEA    (*)
  68  Angel Genao               SS    CLE
  69  Rhett Lowder              RHP   CIN
  70  Cooper Pratt              SS    MIL
  71  Kaelen Culpepper          SS    MIN    (*)
  72  Ryan Sloan                RHP   SEA
  73  Billy Carlson             SS    CWS
  74  Edward Florentino         OF    PIT
  75  Brody Hopkins             RHP   TB
  76  Charlie Condon            1B    COL
